2019:04:24 10:00:14.643 INFO  --- [restartedMain] o.s.j.e.a.AnnotationMBeanExporter : Registering beans for JMX exposure on startup 
2019:04:24 10:00:14.668 INFO  --- [restartedMain] o.s.s.a.ScheduledAnnotationBeanPostProcessor : No TaskScheduler/ScheduledExecutorService bean found for scheduled processing 
2019:04:24 10:00:14.712 INFO  --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2019:04:24 10:00:14.718 INFO  --- [restartedMain] com.oksusu.hdh.OksusuApplication : Started OksusuApplication in 6.073 seconds (JVM running for 7.139) 
2019:04:24 10:01:00.102 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : DEV status: true 
2019:04:24 10:01:00.113 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : BMT status: true 
2019:04:24 10:01:00.124 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : PROD status: true 
2019:04:24 10:02:00.014 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : DEV status: true 
2019:04:24 10:02:00.024 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : BMT status: true 
2019:04:24 10:02:00.033 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : PROD status: true 
2019:04:24 10:03:00.014 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : DEV status: true 
2019:04:24 10:03:00.024 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : BMT status: true 
2019:04:24 10:03:00.034 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : PROD status: true 
2019:04:24 10:04:00.014 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : DEV status: true 
2019:04:24 10:04:00.024 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : BMT status: true 
2019:04:24 10:04:00.034 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : PROD status: true 
2019:04:24 10:05:00.014 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : DEV status: true 
2019:04:24 10:05:00.026 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : BMT status: true 
2019:04:24 10:05:00.036 INFO  --- [pool-2-thread-1] c.o.h.boot.scheduler.SlackScheduler : PROD status: true 
2019:04:24 10:05:24.002 INFO  --- [Thread-7] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext : Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@e9d0766: startup date [Wed Apr 24 10:00:09 KST 2019]; root of context hierarchy 
